# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
23900 673.955 46.9552 -840.457 -793.502 8570.24
24000 669.453 46.6416 -840.993 -794.351 8570.24
24100 678.042 47.24 -840.339 -793.099 8570.24
24200 690.19 48.0864 -839.053 -790.967 8543.02
24300 701.973 48.9073 -838.285 -789.378 8516.86
24400 700.776 48.8239 -838.322 -789.498 8516.86
24500 676.036 47.1002 -840.41 -793.31 8516.86
24600 664.761 46.3147 -841.437 -795.123 8601.64
24700 674.279 46.9779 -840.581 -793.603 8614.31
24800 695.141 48.4313 -838.891 -790.46 8614.31
24900 703.457 49.0107 -838.56 -789.549 8500.93
25000 696.276 48.5104 -838.892 -790.382 8480.56
25100 688.241 47.9506 -839.819 -791.868 8453.88
25200 675.312 47.0498 -840.567 -793.517 8455.09
25300 670.094 46.6863 -841.161 -794.475 8575.36
25400 661.05 46.0562 -841.78 -795.724 8575.36
25500 660.134 45.9924 -841.833 -795.84 8486.81
25600 677.33 47.1904 -840.63 -793.44 8492.73
25700 694.215 48.3668 -839.057 -790.69 8668.23
25800 695.222 48.437 -839.072 -790.635 8668.23
25900 673.439 46.9193 -840.968 -794.049 8524.96
26000 655.602 45.6766 -842.164 -796.488 8507.25
26100 664.098 46.2685 -841.604 -795.336 8464.56
26200 678.825 47.2946 -840.305 -793.011 8486.14
26300 688.817 47.9907 -839.539 -791.548 8635.88
26400 684.627 47.6988 -839.859 -792.161 8635.88
26500 655.585 45.6754 -842.298 -796.622 8531.55
26600 650.476 45.3194 -842.686 -797.367 8329.02
26700 666.999 46.4707 -841.14 -794.67 8349.53
26800 685.824 47.7822 -839.957 -792.175 8449.6
26900 687.894 47.9264 -839.69 -791.764 8438.37
27000 676.472 47.1306 -840.551 -793.421 8438.37
27100 665.082 46.3371 -841.56 -795.223 8438.37
27200 663.408 46.2205 -841.651 -795.43 8604.91
27300 666.254 46.4187 -841.394 -794.975 8632.02
27400 674.675 47.0054 -840.929 -793.924 8632.02
27500 681.531 47.4831 -840.263 -792.78 8632.02
27600 681.064 47.4506 -840.354 -792.903 8542.97
27700 662.419 46.1515 -841.738 -795.587 8423.82
27800 647.184 45.0901 -842.935 -797.845 8317.07
27900 652.81 45.4821 -842.342 -796.86 8317.07
28000 681.986 47.5148 -840.303 -792.788 8398.64
28100 685.885 47.7865 -839.872 -792.086 8630.8
28200 675.939 47.0935 -840.824 -793.73 8630.8
28300 661.279 46.0721 -841.811 -795.739 8567.08
28400 651.97 45.4236 -842.614 -797.19 8394.8
28500 658.438 45.8742 -842.072 -796.198 8394.8
28600 687.34 47.8878 -839.844 -791.956 8394.8
28700 691.313 48.1646 -839.478 -791.313 8394.8
28800 670.801 46.7355 -841.159 -794.424 8492.71
28900 655.332 45.6578 -842.203 -796.546 8512.76
29000 656.573 45.7442 -842.268 -796.524 8512.76
29100 664.983 46.3302 -841.47 -795.139 8513.86
29200 691.898 48.2054 -839.466 -791.261 8527.22
29300 702.418 48.9383 -838.363 -789.425 8508.92
29400 684.856 47.7148 -839.839 -792.125 8445.54
29500 671.006 46.7498 -841.122 -794.372 8518.6
29600 658.374 45.8697 -841.962 -796.093 8552.61
29700 649.072 45.2217 -842.776 -797.555 8322.5
29800 646.128 45.0165 -843.039 -798.023 8466.43
29900 661.292 46.073 -841.877 -795.804 8686.64
30000 681.786 47.5008 -840.289 -792.789 8447.98
30100 678.275 47.2562 -840.615 -793.359 8423.21
30200 654.744 45.6168 -842.314 -796.697 8352.73
30300 647.777 45.1314 -842.979 -797.847 8420.82
30400 652.882 45.4871 -842.574 -797.087 8451.41
30500 662.84 46.1809 -841.841 -795.66 8414.8
30600 679.963 47.3738 -840.185 -792.811 8375.14
30700 698.034 48.6329 -839.015 -790.382 8686.52
30800 675.627 47.0717 -840.764 -793.693 8638.77
30900 656.057 45.7083 -842.34 -796.632 8520.01
31000 648.547 45.185 -842.965 -797.78 8518.01
31100 646.57 45.0473 -843.156 -798.109 8486.72
31200 653.832 45.5533 -842.491 -796.937 8436.49
31300 672.064 46.8235 -840.774 -793.951 8844.38
31400 680.856 47.4361 -840.376 -792.94 8708.27
31500 654.729 45.6157 -842.262 -796.647 8650.53
31600 641.236 44.6757 -843.422 -798.746 8623.76
31700 645.652 44.9834 -843.216 -798.233 8606.64
31800 656.635 45.7485 -842.221 -796.472 8536.77
31900 672.237 46.8356 -840.884 -794.048 8444.69
32000 684.711 47.7047 -839.933 -792.229 8427.54
32100 664.544 46.2996 -841.512 -795.212 8482.28
32200 642.37 44.7547 -843.428 -798.673 8388.69
32300 637.362 44.4058 -843.696 -799.29 8323.65
32400 644.13 44.8773 -843.19 -798.313 8326.6
32500 664.246 46.2788 -841.546 -795.267 8618.92
32600 673.784 46.9434 -840.764 -793.821 8618.92
32700 650.161 45.2975 -842.769 -797.472 8366.28
32800 632.407 44.0605 -844.293 -800.232 8394.74
32900 636.804 44.3669 -843.873 -799.506 8464.42
33000 651.758 45.4088 -842.663 -797.255 8482.45
33100 665.643 46.3762 -841.619 -795.243 8502.77
33200 655.42 45.6639 -842.329 -796.665 8555.42
33300 628.148 43.7638 -844.477 -800.713 8481.01
33400 627.169 43.6957 -844.548 -800.852 8385.8
33500 641.861 44.7192 -843.335 -798.616 8385.8
33600 656.879 45.7656 -842.171 -796.405 8453.83
33700 656.491 45.7385 -842.278 -796.54 8574.78
33800 632.259 44.0502 -844.176 -800.125 8574.78
33900 615.064 42.8522 -845.763 -802.911 8495.13
34000 625.473 43.5775 -844.715 -801.138 8523.14
34100 644.959 44.9351 -843.232 -798.297 8536.2
34200 655.316 45.6567 -842.518 -796.861 8631.71
34300 646.551 45.046 -843.058 -798.012 8569.65
34400 621.727 43.3165 -845.126 -801.81 8324.78
34500 617.149 42.9975 -845.445 -802.447 8324.78
34600 629.059 43.8273 -844.436 -800.608 8375.54
34700 640.759 44.6424 -843.604 -798.962 8483.42
34800 644.606 44.9105 -843.347 -798.436 8483.42
34900 639.82 44.577 -843.563 -798.986 8483.42
35000 616.807 42.9737 -845.638 -802.664 8527.57
35100 598.316 41.6854 -846.954 -805.268 8548.34
35200 616.133 42.9267 -845.632 -802.705 8548.34
35300 635.27 44.2601 -844.053 -799.793 8588.21
35400 642.525 44.7655 -843.361 -798.596 8638.96
35500 641.302 44.6803 -843.626 -798.946 8597.99
35600 620.928 43.2608 -845.253 -801.992 8481.4
35700 605.986 42.2198 -846.37 -804.15 8478.09
35800 616.053 42.9211 -845.659 -802.738 8476.6
35900 629.094 43.8297 -844.614 -800.784 8454.51
36000 632.82 44.0893 -844.227 -800.138 8407.56
36100 633.01 44.1026 -844.133 -800.031 8407.56
36200 629.776 43.8773 -844.691 -800.814 8409.17
36300 610.651 42.5448 -846.113 -803.569 8487.78
36400 600.72 41.8529 -846.699 -804.846 8487.78
36500 619.587 43.1674 -845.39 -802.222 8487.78
36600 636.597 44.3525 -843.95 -799.597 8499.65
36700 635.777 44.2954 -843.953 -799.658 8500.02
36800 627.623 43.7273 -844.83 -801.103 8426.99
36900 610.724 42.5499 -846.14 -803.591 8394.48
37000 594.192 41.3981 -847.267 -805.869 8394.48
37100 592.87 41.306 -847.391 -806.085 8449.45
37200 618.235 43.0732 -845.469 -802.395 8556.14
37300 633.8 44.1576 -844.139 -799.981 8556.14
37400 638.35 44.4746 -844.035 -799.56 8520.25
37500 623.969 43.4727 -844.877 -801.405 8515.81
37600 606.831 42.2786 -846.387 -804.109 8515.81
37700 604.08 42.087 -846.452 -804.365 8610.19
37800 615.915 42.9115 -845.599 -802.688 8665.62
37900 622.235 43.3519 -845.161 -801.809 8600.18
38000 624.075 43.4801 -845.149 -801.669 8497.82
38100 621.515 43.3017 -845.236 -801.934 8387.72
38200 614.678 42.8254 -845.673 -802.848 8479.78
38300 604.836 42.1397 -846.463 -804.324 8480.8
38400 602.089 41.9483 -846.616 -804.667 8547.94
38500 620.186 43.2091 -845.368 -802.158 8657.47
38600 636.588 44.3519 -844.144 -799.792 8576.86
38700 632.079 44.0377 -844.32 -800.282 8474.26
