# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
25700 77.0085 0.0497706 -7.59891 -7.54914 864.893
25800 68.6802 0.0443881 -7.59703 -7.55265 864.893
25900 68.4658 0.0442495 -7.58437 -7.54012 864.893
26000 100.13 0.0647139 -7.57929 -7.51458 864.893
26100 97.4427 0.0629773 -7.57184 -7.50887 864.893
26200 73.0433 0.0472079 -7.59351 -7.54631 864.893
26300 37.8326 0.0244513 -7.6053 -7.58085 864.893
26400 61.2757 0.0396025 -7.60425 -7.56464 864.893
26500 85.4579 0.0552315 -7.58534 -7.53011 864.893
26600 100.401 0.0648895 -7.57681 -7.51192 864.893
26700 84.4397 0.0545734 -7.5729 -7.51833 864.893
26800 72.1026 0.0465999 -7.5931 -7.5465 864.893
26900 50.5047 0.0326412 -7.60941 -7.57677 864.893
27000 42.2535 0.0273085 -7.60124 -7.57393 864.893
27100 69.216 0.0447343 -7.59148 -7.54675 864.893
27200 78.0927 0.0504714 -7.58132 -7.53085 864.893
27300 93.206 0.0602391 -7.57777 -7.51753 864.893
27400 101.611 0.0656714 -7.57407 -7.5084 864.893
27500 87.526 0.0565681 -7.5785 -7.52193 864.893
27600 58.9857 0.0381225 -7.59492 -7.5568 864.893
27700 59.0696 0.0381768 -7.60422 -7.56605 864.893
27800 78.9794 0.0510445 -7.59121 -7.54017 864.893
27900 111.064 0.071781 -7.56885 -7.49707 864.893
28000 99.2666 0.0641561 -7.57221 -7.50805 864.893
28100 79.7849 0.0515651 -7.58659 -7.53503 864.893
28200 63.8714 0.0412802 -7.5951 -7.55382 864.893
28300 73.801 0.0476976 -7.59497 -7.54727 864.893
28400 119.354 0.0771386 -7.5672 -7.49007 864.893
28500 110.312 0.0712948 -7.55664 -7.48534 864.893
28600 83.7163 0.0541059 -7.58271 -7.52861 864.893
28700 71.444 0.0461743 -7.59272 -7.54655 864.893
28800 73.2297 0.0473284 -7.59078 -7.54345 864.893
28900 75.3644 0.0487081 -7.57875 -7.53005 864.893
29000 113.299 0.073225 -7.55081 -7.47758 864.893
29100 148.195 0.0957785 -7.52777 -7.43199 864.893
29200 111.856 0.0722925 -7.56025 -7.48795 864.893
29300 85.8157 0.0554628 -7.58509 -7.52963 864.893
29400 66.5357 0.043002 -7.59243 -7.54943 864.893
29500 72.8743 0.0470987 -7.59601 -7.54891 864.893
29600 95.9783 0.0620308 -7.57742 -7.51539 864.893
29700 126.615 0.0818311 -7.5548 -7.47297 864.893
29800 105.837 0.0684025 -7.57547 -7.50707 864.893
29900 79.0378 0.0510822 -7.58942 -7.53834 864.893
30000 78.518 0.0507463 -7.59051 -7.53976 864.893
30100 83.735 0.054118 -7.5854 -7.53128 864.893
30200 101.78 0.0657802 -7.57201 -7.50623 864.893
30300 120.498 0.0778781 -7.54694 -7.46906 864.893
30400 111.26 0.0719075 -7.56734 -7.49543 864.893
30500 65.0991 0.0420736 -7.58851 -7.54643 864.893
30600 72.6208 0.0469349 -7.59488 -7.54795 864.893
30700 85.1528 0.0550343 -7.58697 -7.53194 864.893
30800 111.719 0.072204 -7.56787 -7.49566 864.893
30900 119.921 0.0775049 -7.55133 -7.47383 864.893
31000 90.639 0.0585801 -7.58453 -7.52595 864.893
31100 66.6187 0.0430557 -7.60264 -7.55958 864.893
31200 55.5721 0.0359163 -7.59505 -7.55914 864.893
31300 74.2458 0.0479851 -7.57701 -7.52903 864.893
31400 102.957 0.0665412 -7.56806 -7.50152 864.893
31500 94.7944 0.0612657 -7.57489 -7.51363 864.893
31600 79.241 0.0512135 -7.59021 -7.53899 864.893
31700 64.0261 0.0413801 -7.59533 -7.55395 864.893
31800 77.9753 0.0503955 -7.59267 -7.54227 864.893
31900 112.579 0.07276 -7.55855 -7.48579 864.893
32000 118.379 0.0765082 -7.56325 -7.48674 864.893
32100 81.9831 0.0529857 -7.58738 -7.5344 864.893
32200 65.6248 0.0424133 -7.59611 -7.55369 864.893
32300 70.03 0.0452604 -7.5942 -7.54894 864.893
32400 99.9391 0.0645907 -7.57422 -7.50963 864.893
32500 137.168 0.0886515 -7.55059 -7.46194 864.893
32600 106.467 0.06881 -7.56073 -7.49192 864.893
32700 93.1554 0.0602064 -7.57878 -7.51858 864.893
32800 77.5555 0.0501242 -7.5902 -7.54008 864.893
32900 66.5441 0.0430075 -7.59767 -7.55466 864.893
33000 62.2676 0.0402436 -7.59911 -7.55886 864.893
33100 76.0483 0.0491501 -7.5862 -7.53705 864.893
33200 106.475 0.0688149 -7.56699 -7.49817 864.893
33300 100.067 0.0646734 -7.57113 -7.50646 864.893
33400 71.9766 0.0465185 -7.59313 -7.54662 864.893
33500 64.0977 0.0414264 -7.60253 -7.5611 864.893
33600 60.2625 0.0389477 -7.59362 -7.55467 864.893
33700 78.0961 0.0504736 -7.58944 -7.53897 864.893
33800 86.2476 0.0557419 -7.58224 -7.5265 864.893
33900 87.9973 0.0568727 -7.58233 -7.52546 864.893
34000 66.5894 0.0430368 -7.59791 -7.55487 864.893
34100 46.6273 0.0301353 -7.61183 -7.58169 864.893
34200 52.9344 0.0342115 -7.60708 -7.57286 864.893
34300 76.5725 0.0494889 -7.58959 -7.5401 864.893
34400 89.0418 0.0575478 -7.5802 -7.52266 864.893
34500 87.2074 0.0563622 -7.5819 -7.52554 864.893
34600 71.0047 0.0458904 -7.59381 -7.54792 864.893
34700 47.7214 0.0308424 -7.61103 -7.58018 864.893
34800 44.4535 0.0287303 -7.61295 -7.58422 864.893
34900 59.032 0.0381525 -7.60222 -7.56407 864.893
35000 71.6653 0.0463173 -7.59434 -7.54802 864.893
35100 80.914 0.0522948 -7.58725 -7.53495 864.893
35200 90.8325 0.0587051 -7.57842 -7.51971 864.893
35300 96.1683 0.0621536 -7.57547 -7.51332 864.893
35400 79.4004 0.0513165 -7.58729 -7.53597 864.893
35500 56.7968 0.0367078 -7.60355 -7.56684 864.893
35600 56.0544 0.036228 -7.60688 -7.57066 864.893
35700 77.5111 0.0500955 -7.58787 -7.53777 864.893
35800 103.208 0.0667034 -7.57103 -7.50433 864.893
35900 91.818 0.059342 -7.57647 -7.51713 864.893
36000 75.381 0.0487188 -7.59141 -7.54269 864.893
36100 60.5487 0.0391327 -7.60036 -7.56123 864.893
36200 55.9424 0.0361556 -7.60408 -7.56792 864.893
36300 70.5092 0.0455701 -7.59769 -7.55212 864.893
36400 88.5145 0.057207 -7.57253 -7.51533 864.893
36500 106.532 0.0688514 -7.56812 -7.49927 864.893
36600 85.3723 0.0551762 -7.5845 -7.52932 864.893
36700 60.3849 0.0390268 -7.60136 -7.56234 864.893
36800 59.4702 0.0384357 -7.60184 -7.56341 864.893
36900 69.3477 0.0448195 -7.59565 -7.55083 864.893
37000 79.5273 0.0513986 -7.58787 -7.53647 864.893
37100 84.6056 0.0546807 -7.58456 -7.52988 864.893
37200 77.3114 0.0499664 -7.58108 -7.53111 864.893
37300 81.9258 0.0529487 -7.58623 -7.53328 864.893
37400 80.4282 0.0519808 -7.58866 -7.53668 864.893
37500 75.3687 0.0487108 -7.5899 -7.54119 864.893
37600 69.0157 0.0446049 -7.59481 -7.5502 864.893
37700 57.9655 0.0374631 -7.60353 -7.56607 864.893
37800 56.0809 0.0362452 -7.60509 -7.56885 864.893
37900 76.3417 0.0493397 -7.59197 -7.54263 864.893
38000 96.4648 0.0623453 -7.5724 -7.51006 864.893
38100 94.8012 0.0612701 -7.57562 -7.51435 864.893
38200 73.3573 0.0474109 -7.59055 -7.54314 864.893
38300 59.2438 0.0382893 -7.60462 -7.56633 864.893
38400 40.9751 0.0264822 -7.61462 -7.58814 864.893
38500 31.4098 0.0203002 -7.6248 -7.6045 864.893
38600 39.3288 0.0254182 -7.61695 -7.59153 864.893
38700 59.3751 0.0383742 -7.60182 -7.56345 864.893
38800 80.1145 0.0517781 -7.58945 -7.53768 864.893
38900 90.04 0.0581929 -7.5766 -7.51841 864.893
39000 93.7172 0.0605695 -7.58029 -7.51972 864.893
39100 60.6234 0.0391809 -7.59455 -7.55537 864.893
39200 53.2573 0.0344203 -7.60939 -7.57497 864.893
39300 58.6498 0.0379054 -7.60395 -7.56604 864.893
39400 77.528 0.0501064 -7.58728 -7.53718 864.893
39500 86.2561 0.0557474 -7.58107 -7.52532 864.893
39600 80.2022 0.0518348 -7.58534 -7.5335 864.893
39700 73.5171 0.0475141 -7.59335 -7.54584 864.893
39800 61.3176 0.0396296 -7.60116 -7.56153 864.893
39900 49.1041 0.031736 -7.60994 -7.57821 864.893
40000 47.1568 0.0304775 -7.6118 -7.58132 864.893
40100 70.0035 0.0452433 -7.59624 -7.551 864.893
40200 90.3426 0.0583885 -7.58023 -7.52185 864.893
40300 87.409 0.0564925 -7.5819 -7.52541 864.893
40400 69.9799 0.0452281 -7.59461 -7.54938 864.893
40500 47.7016 0.0308296 -7.61023 -7.5794 864.893
40600 41.0306 0.0265181 -7.61548 -7.58896 864.893
40700 67.7403 0.0437806 -7.59524 -7.55146 864.893
40800 91.4001 0.0590719 -7.57842 -7.51935 864.893
40900 88.3456 0.0570978 -7.58139 -7.5243 864.893
41000 70.9225 0.0458372 -7.59505 -7.54922 864.893
41100 56.5554 0.0365518 -7.60445 -7.5679 864.893
41200 56.6742 0.0366286 -7.6035 -7.56687 864.893
41300 87.6777 0.0566662 -7.58059 -7.52393 864.893
41400 105.183 0.0679798 -7.56906 -7.50108 864.893
41500 84.8812 0.0548588 -7.58285 -7.52799 864.893
41600 67.425 0.0435768 -7.59686 -7.55328 864.893
41700 64.5856 0.0417417 -7.59816 -7.55642 864.893
41800 69.3069 0.0447931 -7.59475 -7.54996 864.893
41900 74.998 0.0484712 -7.59165 -7.54317 864.893
42000 69.2558 0.0447601 -7.58181 -7.53705 864.893
42100 88.3162 0.0570788 -7.58179 -7.52471 864.893
42200 102.614 0.0663194 -7.57095 -7.50463 864.893
42300 102.134 0.0660092 -7.573 -7.50699 864.893
42400 72.8814 0.0471033 -7.59207 -7.54496 864.893
42500 57.2616 0.0370082 -7.60311 -7.5661 864.893
42600 58.015 0.0374951 -7.59927 -7.56177 864.893
42700 90.9784 0.0587994 -7.57994 -7.52114 864.893
42800 99.6326 0.0643926 -7.56813 -7.50373 864.893
42900 89.0796 0.0575722 -7.58006 -7.52248 864.893
43000 74.6674 0.0482576 -7.59098 -7.54273 864.893
43100 63.73 0.0411888 -7.59549 -7.5543 864.893
43200 70.0271 0.0452586 -7.59764 -7.55238 864.893
43300 86.6104 0.0559763 -7.57562 -7.51964 864.893
43400 114.069 0.0737228 -7.56558 -7.49186 864.893
43500 88.296 0.0570658 -7.58035 -7.52328 864.893
43600 63.9614 0.0413383 -7.59739 -7.55605 864.893
43700 62.9103 0.040659 -7.60035 -7.55969 864.893
43800 71.3027 0.046083 -7.5952 -7.54911 864.893
43900 99.3017 0.0641788 -7.57563 -7.51146 864.893
44000 141.634 0.0915383 -7.5529 -7.46136 864.893
44100 102.759 0.0664134 -7.57272 -7.50631 864.893
44200 77.5528 0.0501224 -7.58397 -7.53384 864.893
44300 71.1625 0.0459924 -7.5964 -7.55041 864.893
44400 56.6078 0.0365856 -7.60005 -7.56346 864.893
44500 61.4738 0.0397306 -7.60268 -7.56295 864.893
44600 82.5734 0.0533672 -7.58563 -7.53226 864.893
44700 104.682 0.0676558 -7.56996 -7.5023 864.893
44800 80.9028 0.0522875 -7.57335 -7.52106 864.893
44900 65.6446 0.0424262 -7.59493 -7.5525 864.893
45000 54.9867 0.0355379 -7.60302 -7.56748 864.893
45100 57.5309 0.0371822 -7.60128 -7.56409 864.893
45200 69.9662 0.0452192 -7.59472 -7.54951 864.893
45300 86.7563 0.0560707 -7.58405 -7.52798 864.893
45400 93.5331 0.0604505 -7.57944 -7.51899 864.893
45500 70.3721 0.0454815 -7.5934 -7.54791 864.893
45600 50.8439 0.0328604 -7.61004 -7.57717 864.893
45700 49.5466 0.032022 -7.60603 -7.57401 864.893
45800 70.2634 0.0454113 -7.59162 -7.54621 864.893
45900 83.9694 0.0542695 -7.58522 -7.53095 864.893
46000 80.6489 0.0521234 -7.58782 -7.53569 864.893
46100 72.8784 0.0471014 -7.59433 -7.54723 864.893
46200 59.2484 0.0382923 -7.60389 -7.56559 864.893
46300 37.067 0.0239564 -7.61472 -7.59077 864.893
46400 39.1051 0.0252736 -7.61838 -7.5931 864.893
46500 59.0203 0.0381449 -7.60283 -7.56468 864.893
46600 72.4879 0.046849 -7.59225 -7.5454 864.893
46700 78.1911 0.050535 -7.58667 -7.53614 864.893
46800 83.2502 0.0538047 -7.58556 -7.53176 864.893
46900 67.1505 0.0433994 -7.59187 -7.54847 864.893
47000 54.3482 0.0351253 -7.60792 -7.5728 864.893
